filepath,collection,object_name,mark_type,year_range,year_start,image_type,image_index,group_id,cloudinary_ref
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Bletchingley 4_hallmark 1733_34.jpg","Church plate on loan to V&A","Loan Bletchingley 4","hallmark","1733-34","1733","primary","1","church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733","hallmarks/church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Bletchingley 4_hallmark 1733_34_lid.jpg","Church plate on loan to V&A","Loan Bletchingley 4","hallmark","1733-34","1733","primary","0","church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733","hallmarks/church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Bletchingley 4_hallmark 1733_34_lid_dimensions.jpg","Church plate on loan to V&A","Loan Bletchingley 4","hallmark","1733-34","1733","dimensions","2","church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733","hallmarks/church-plate-on-loan-to-v-a-loan-bletchingley-4-hallmark-1733-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Bletchingly 4_hallmark 1733_34_dimensions.jpg","Church plate on loan to V&A","Loan Bletchingly 4","hallmark","1733-34","1733","dimensions","0","church-plate-on-loan-to-v-a-loan-bletchingly-4-hallmark-1733","hallmarks/church-plate-on-loan-to-v-a-loan-bletchingly-4-hallmark-1733-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Easton Maudit 1 date letter 1630-31 dimensions.jpg","Church plate on loan to V&A","Loan Easton Maudit 1","date letter","1630-31","1630","dimensions","1","church-plate-on-loan-to-v-a-loan-easton-maudit-1-date-letter-1630","hallmarks/church-plate-on-loan-to-v-a-loan-easton-maudit-1-date-letter-1630-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Easton Maudit 1 date letter 1630-31.jpg","Church plate on loan to V&A","Loan Easton Maudit 1","date letter","1630-31","1630","primary","0","church-plate-on-loan-to-v-a-loan-easton-maudit-1-date-letter-1630","hallmarks/church-plate-on-loan-to-v-a-loan-easton-maudit-1-date-letter-1630-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Easton Maudit 1 paten hallmark 1630-31 another image.jpg","Church plate on loan to V&A","Loan Easton Maudit 1 paten","hallmark","1630-31","1630","primary","0","church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630","hallmarks/church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Easton Maudit 1_paten_hallmark 1630-31.jpg","Church plate on loan to V&A","Loan Easton Maudit 1 paten","hallmark","1630-31","1630","primary","1","church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630","hallmarks/church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Easton Maudit 1_paten_hallmark 1630-31_dimensions.jpg","Church plate on loan to V&A","Loan Easton Maudit 1 paten","hallmark","1630-31","1630","dimensions","2","church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630","hallmarks/church-plate-on-loan-to-v-a-loan-easton-maudit-1-paten-hallmark-1630-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_dateletter_1732-33-dimensions.jpg","Church plate on loan to V&A","Loan Linford 1","date letter","1732-33","1732","dimensions","1","church-plate-on-loan-to-v-a-loan-linford-1-date-letter-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-date-letter-1732-1"
